Person_ID,ProjectEnrollment_ID,Client_Age_at_Entry,LastPermanentZip,ProjectEnrollmentDate,Destination,Start_Date,Exit_Date,Project_Name,HousingStatus_atProjectStart,LivingSituationBeforeProgram,ProjectStayHousehold_ID
175521,172038,30,93906,1/22/13,"Staying or living with family, permanent tenure (HUD)",6/15/12,9/13/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",172038
175571,138827,38,93901,4/15/11,Client doesn't know (HUD),3/24/11,3/31/11,zzz*inactive* MOSBE CHS-Genesis House(2090),Category 1 - Homeless (HUD),Place not meant for habitation (HUD),138827
175573,139485,23,93955,6/12/15,Permanent housing for formerly homeless persons (HUD),5/6/11,5/31/13,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",139485
175653,178855,47,93905,9/24/13,"Rental by client, no ongoing housing subsidy (HUD)",8/22/12,8/1/13,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Hotel or motel paid for without emergency shelter voucher (HUD),178855
175654,178856,14,93901,9/24/13,"Rental by client, no ongoing housing subsidy (HUD)",8/22/12,8/1/13,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Hotel or motel paid for without emergency shelter voucher (HUD),178855
175736,228848,53,93955,1/17/14,Client doesn't know (HUD),9/20/13,1/17/14,MOSBE  SOP: Transitional Housing - Men In Transition(2107),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),228848
175778,133160,46,93906,10/14/11,"Rental by client, with other ongoing housing subsidy (HUD)",1/21/10,7/21/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",133160
175781,133251,13,93906,10/14/11,"Rental by client, with other ongoing housing subsidy (HUD)",1/21/10,7/21/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",133160
175782,133250,6,93906,10/14/11,"Rental by client, with other ongoing housing subsidy (HUD)",1/21/10,7/21/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",133160
175850,219252,43,93933,7/23/15,"Rental by client, with VASH subsidy (HUD)",1/24/13,12/8/14,MOSBE Veterans Transition Center GPD(2862),Category 1 - Homeless (HUD),"Rental by client, no ongoing housing subsidy (HUD)",219252
175988,125298,41,93940,9/8/14,Other (HUD),2/2/06,6/30/12,zzz*inactive* MOSBE CHS-Genesis House(2090),,"Owned by client, no ongoing housing subsidy (HUD)",125298
175994,184139,52,93933,6/13/13,"Staying or living with family, permanent tenure (HUD)",10/16/12,6/9/13,MOSBE CHS-Elm House(2142),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",184139
176005,140261,54,93933,7/11/12,"Rental by client, no ongoing housing subsidy (HUD)",8/4/11,12/30/11,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Place not meant for habitation (HUD),140261
176054,202438,29,93950,11/16/13,"Staying or living with family, temporary tenure (e.g., room, apartment or house)(HUD)",2/15/13,5/17/13,MOSBE  SOP: Transitional Housing - Men In Transition(2107),Category 1 - Homeless (HUD),Hotel or motel paid for without emergency shelter voucher (HUD),202438
176084,384844,31,93906,12/2/14,"Jail, prison or juvenile detention facility (HUD)",1/17/14,9/8/14,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),At-risk of homelessness (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",384843
176170,130688,29,93906,10/4/11,"Rental by client, no ongoing housing subsidy (HUD)",3/6/09,4/4/11,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 2 - At imminent risk of losing housing (HUD),"Staying or living in a family member's room, apartment or house (HUD)",130688
176171,130689,5,93906,10/4/11,"Rental by client, no ongoing housing subsidy (HUD)",3/6/09,4/4/11,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 2 - At imminent risk of losing housing (HUD),"Staying or living in a family member's room, apartment or house (HUD)",130688
176183,135308,26,93940,5/23/12,"Staying or living with family, permanent tenure (HUD)",5/24/10,8/31/11,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),135308
176208,214415,43,93901,8/22/13,"Rental by client, no ongoing housing subsidy (HUD)",5/24/13,8/22/13,MOSBE  SOP: Transitional Housing - Men In Transition(2107),Category 2 - At imminent risk of losing housing (HUD),"Staying or living in a friend's room, apartment or house (HUD)",214415
176306,133497,30,93927,6/14/13,"Staying or living with family, permanent tenure (HUD)",4/9/10,10/28/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),133497
176308,133953,4,,6/14/13,"Staying or living with family, permanent tenure (HUD)",4/9/10,10/28/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),133497
176420,172041,8,93906,1/22/13,"Staying or living with family, permanent tenure (HUD)",6/15/12,9/13/12,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",172038
176446,231769,33,93907,12/12/14,"Rental by client, with other ongoing housing subsidy (HUD)",1/24/13,5/5/14,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)",227562
176557,139518,53,,5/26/11,Client doesn't know (HUD),4/28/11,5/16/11,zzz*inactive* MOSBE CHS-Genesis House(2090),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",139518
176679,127018,43,,9/8/14,Other (HUD),6/6/05,6/30/12,zzz*inactive* MOSBE CHS-Genesis House(2090),,,127018
176738,138560,41,93940,7/13/11,Safe Haven (HUD),3/11/11,6/8/11,zzz*inactive* MOSBE CHS-Genesis House(2090),Category 1 - Homeless (HUD),Place not meant for habitation (HUD),138560
176738,382334,44,97214,2/5/15,Hotel or motel paid for without emergency shelter voucher (HUD),8/18/14,1/30/15,MOSBE Interim - MCHOME - Lexington(2871),Category 1 - Homeless (HUD),Place not meant for habitation (HUD),382334
176773,136337,48,93940,6/4/11,Place not meant for habitation (HUD),10/26/10,12/15/10,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),136337
176780,133464,30,93940,6/28/11,Permanent housing for formerly homeless persons (HUD),3/10/10,12/15/10,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",133464
176816,134081,51,93933,12/17/12,Permanent housing for formerly homeless persons (HUD),4/23/10,5/24/11,MOSBE Interim - Shelter Cove(2118),Stably housed (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",134081
176824,135093,24,93901,7/2/12,"Rental by client, no ongoing housing subsidy (HUD)",5/12/10,11/11/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",134063
176842,453303,51,80215,4/13/15,,4/10/15,,MOSBE Franciscan Workers - House of Peace(3207),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",453303
176863,241301,32,93955,1/27/15,"Staying or living with family, permanent tenure (HUD)",10/1/13,11/19/14,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),241301
176873,210089,50,93906,6/18/15,"Emergency shelter, including hotel or motel paid for with emergency shelter voucher (HUD)",6/27/12,2/11/14,MOSBE Interim - MCHOME - Lexington(2871),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",210089
176899,477460,31,93955,7/2/15,,7/2/15,,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Place not meant for habitation (HUD),477460
176926,219888,29,93906,3/26/15,"Staying or living with family, permanent tenure (HUD)",7/23/13,10/9/14,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),Hotel or motel paid for without emergency shelter voucher (HUD),219888
176927,219890,7,93906,3/24/15,"Staying or living with family, permanent tenure (HUD)",7/23/13,10/9/14,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),Hotel or motel paid for without emergency shelter voucher (HUD),219888
176971,131143,17,93905,9/28/11,"Rental by client, no ongoing housing subsidy (HUD)",9/17/09,7/31/11,MOSBE The Salvation Army - Casa de las Palmas(2088),Category 1 - Homeless (HUD),Transitional housing for homeless persons (including homeless youth) (HUD),131142
176972,133455,13,93905,9/28/11,"Rental by client, no ongoing housing subsidy (HUD)",1/15/10,7/31/11,MOSBE The Salvation Army - Casa de las Palmas(2088),Stably housed (HUD),Transitional housing for homeless persons (including homeless youth) (HUD),131142
176984,235211,54,93955,12/15/14,Permanent housing for formerly homeless persons (HUD),11/8/13,12/13/14,MOSBE Interim - Shelter Cove(2118),Stably housed (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",235211
177007,135502,29,93940,7/11/12,Permanent housing for formerly homeless persons (HUD),8/11/10,5/2/12,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),135502
177033,138045,39,93933,9/8/14,Other (HUD),2/9/11,6/30/12,zzz*inactive* MOSBE CHS-Genesis House(2090),Category 2 - At imminent risk of losing housing (HUD),"Staying or living in a friend's room, apartment or house (HUD)",138045
177033,140442,39,93932,7/19/13,"Staying or living with friends, permanent tenure (HUD)",8/9/11,6/15/12,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),140442
177085,151984,49,93906,8/16/12,"Rental by client, with other ongoing housing subsidy (HUD)",2/23/12,7/31/12,MOSBE  SOP: Transitional Housing - Men In Transition(2107),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",151984
177087,227744,29,93905,10/21/14,"Rental by client, no ongoing housing subsidy (HUD)",10/17/13,9/9/14,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",227744
177092,204688,42,93933,2/28/13,Permanent housing for formerly homeless persons (HUD),3/1/11,5/23/11,MOSBE Interim - MCHOME - Lexington(2871),Stably housed (HUD),Transitional housing for homeless persons (including homeless youth) (HUD),204688
177102,140642,26,93905,9/8/14,Other (HUD),9/13/11,6/30/12,zzz*inactive* MOSBE CHS-Genesis House(2090),Category 1 - Homeless (HUD),"Jail, prison or juvenile detention facility (HUD)",140642
177102,153900,27,93955,1/28/13,"Emergency shelter, including hotel or motel paid for with emergency shelter voucher (HUD)",3/7/12,8/30/12,MOSBE CHS-Elm House(2142),Category 1 - Homeless (HUD),Substance abuse treatment facility or detox center (HUD),153900
177125,134579,51,93955,9/8/14,Other (HUD),6/7/10,6/30/12,zzz*inactive* MOSBE CHS-Genesis House(2090),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",134579
177132,136069,35,95045,7/13/11,Safe Haven (HUD),9/3/10,2/25/11,zzz*inactive* MOSBE CHS-Genesis House(2090),Category 1 - Homeless (HUD),"Jail, prison or juvenile detention facility (HUD)",136069
177218,131789,27,95062,5/24/12,Permanent housing for formerly homeless persons (HUD),11/5/09,6/21/11,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Psychiatric hospital or other psychiatric facility (HUD),131789
177220,134588,25,93955,9/13/11,"Staying or living with family, permanent tenure (HUD)",6/16/10,3/18/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)",134588
177245,130912,35,93905,11/18/10,"Staying or living with family, temporary tenure (e.g., room, apartment or house)(HUD)",11/18/08,11/18/10,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",130912
177246,130914,9,93905,11/18/10,"Staying or living with family, temporary tenure (e.g., room, apartment or house)(HUD)",11/18/08,11/18/10,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",130912
177303,137909,57,94306,2/7/11,"Rental by client, with VASH subsidy (HUD)",5/27/10,10/14/10,MOSBE Veterans Transition Center GPD(2862),At-risk of homelessness (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",137909
177353,136412,29,93901,1/12/11,Client doesn't know (HUD),11/9/10,1/12/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",136412
177354,136466,48,93901,7/15/11,"Rental by client, with other ongoing housing subsidy (HUD)",8/29/10,5/5/11,MOSBE Interim - Sunflower Gardens - THU(2859),Category 1 - Homeless (HUD),"Emergency shelter, including hotel or motel paid for with emergency shelter voucher(HUD)",136466
177425,225935,34,93906,6/25/15,"Rental by client, no ongoing housing subsidy (HUD)",4/26/13,6/5/15,MOSBE Veterans Transition Center GPD(2862),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",225935
177432,138563,58,93933,9/16/11,"Rental by client, no ongoing housing subsidy (HUD)",3/3/11,9/2/11,zzz*inactive* MOSBE CHS-Genesis House(2090),Category 1 - Homeless (HUD),Place not meant for habitation (HUD),138563
177518,449859,55,93940,4/2/15,,4/1/15,,MOSBE Interim - Shelter Cove(2118),Category 1 - Homeless (HUD),Place not meant for habitation (HUD),449859
177547,378570,54,93901,3/10/15,Transitional housing for homeless persons (including homeless youth) (HUD),7/16/14,2/17/15,MOSBE Franciscan Workers - House of Peace(3207),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",378570
177547,385246,55,93901,2/27/15,Permanent housing for formerly homeless persons (HUD),9/16/14,2/17/15,MOSBE Franciscan Workers - House of Peace(3207),At-risk of homelessness (HUD),"Staying or living in a family member's room, apartment or house (HUD)",385246
177556,311007,45,93933,5/23/14,"Rental by client, with VASH subsidy (HUD)",2/12/13,5/23/14,MOSBE Veterans Transition Center GPD(2862),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",311007
177587,479665,37,93901,10/6/15,,9/23/15,,MOSBE SOP: Transitional Housing - Wittenmyer (Homeward Bound)(2106),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)",479665
177633,204689,45,93955,2/28/13,Permanent housing for formerly homeless persons (HUD),3/1/11,7/11/11,MOSBE Interim - MCHOME - Lexington(2871),Category 1 - Homeless (HUD),Permanent housing for formerly homeless persons (HUD),204689
177636,133974,27,93906,6/7/12,"Rental by client, no ongoing housing subsidy (HUD)",4/13/10,7/7/11,MOSBE Pueblo del Mar Family Recovery Community(2115),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)",133974
177697,140972,36,93901,7/23/12,"Emergency shelter, including hotel or motel paid for with emergency shelter voucher (HUD)",9/7/11,7/12/12,MOSBE  SOP: Transitional Housing - Men In Transition(2107),Stably housed (HUD),"Staying or living in a family member's room, apartment or house (HUD)",140972
